TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz
30,1,NonStim,0,1,98.0121333333333,99.0033333333333,NaN,0.991,999.999999995225,4,0.6363,1,1,12,5,2,2.01816347124117
31,1,Stim,1,1,101.3804,102.3617,-0.0555000000000092,0.981000000000009,999.999999995225,4,0.3636,1,1,18,5,1,1.01936799184505
32,1,Stim,1,1,104.9139,105.8748,-0.0636333333333425,0.960999999999999,999.999999995225,3,0.3636,1,1,15,10,1,1.04058272632674
34,1,Stim,1,1,109.822,110.8,-0.0570666666666853,0.978000000000009,999.999999995225,2,0.1818,1,1,18,4,0,0
35,1,NonStim,0,1,113.3238,114.3075,NaN,0.984000000000009,999.999999995225,2,1,1,0,17,11,4,4.06504065040647
38,1,NonStim,0,1,121.183433333333,122.1478,NaN,0.964000000000013,999.999999995225,1,0.6363,1,1,14,7,1,1.03734439834024
39,1,NonStim,0,1,124.5503,125.508666666667,NaN,0.957999999999998,999.999999995225,3,-0.1818,-1,1,14,11,2,2.08768267223382
40,1,Stim,1,1,127.900066666667,128.8683,-0.06013333333334,0.968000000000004,999.999999995225,3,0.6363,1,1,16,9,2,2.06611570247933
42,1,NonStim,0,1,133.368366666667,134.334566666667,NaN,0.966000000000008,999.999999995225,3,-0.0909,-1,1,16,16,5,5.17598343685296
43,1,Stim,1,1,136.593833333333,137.566166666667,-0.0546333333333564,0.973000000000013,999.999999995225,2,0.0909,1,1,16,9,1,1.02774922918806
44,1,NonStim,0,1,140.052566666667,141.027633333333,NaN,0.974999999999994,999.999999995225,1,-0.1818,-1,1,17,7,2,2.05128205128206
45,1,NonStim,0,1,143.2948,144.251366666667,NaN,0.957000000000022,999.999999995225,2,-0.4545,-1,0,14,12,2,2.08986415882963
46,1,NonStim,0,1,146.6203,147.585866666667,NaN,0.965000000000003,999.999999995225,4,-0.3636,-1,1,14,8,2,2.07253886010362
47,1,Stim,1,1,149.8531,150.818666666667,-0.0542333333333147,0.965000000000003,999.999999995225,4,1,1,1,15,4,0,0
49,1,Stim,1,1,154.838933333333,155.811266666667,-0.0613666666666859,0.973000000000013,999.999999995225,3,-0.6363,-1,0,18,14,3,3.08324768756419
50,1,NonStim,0,1,158.1634,159.1247,NaN,0.961000000000013,999.999999995225,2,-0.6363,-1,0,14,9,1,1.04058272632673
51,1,Stim,1,1,161.547633333333,162.512233333333,-0.0678666666666459,0.965000000000003,999.999999995225,2,0.6363,1,0,15,11,2,2.07253886010362
52,1,NonStim,0,1,164.9977,165.962366666667,NaN,0.965000000000003,999.999999995225,2,-0.1818,-1,0,17,9,2,2.07253886010362
53,1,NonStim,0,1,168.398633333333,169.3662,NaN,0.968000000000018,999.999999995225,4,-0.4545,-1,0,20,6,1,1.03305785123965
56,1,Stim,1,1,175.949566666667,176.9147,-0.0572666666666635,0.965000000000003,999.999999995225,1,0.4545,1,1,12,4,2,2.07253886010362
57,1,Stim,1,1,179.141633333333,180.115766666667,-0.0553333333333512,0.974000000000018,999.999999995225,1,-0.1818,-1,0,14,6,2,2.05338809034904
58,1,Stim,1,1,182.292066666667,183.274733333333,-0.0511666666666599,0.981999999999999,999.999999995225,4,-0.0909,-1,1,11,5,4,4.07331975560082
59,1,NonStim,0,1,185.6505,186.617566666667,NaN,0.966999999999985,999.999999995225,2,0.1818,1,1,12,6,0,0
60,1,NonStim,0,1,188.8341,189.817066666667,NaN,0.983000000000004,999.999999995225,4,-0.0909,-1,1,12,9,1,1.01729399796541
61,1,NonStim,0,1,192.093433333333,193.059966666667,NaN,0.966000000000008,999.999999995225,3,0.3636,1,1,17,12,3,3.10559006211178
62,1,Stim,1,1,195.418833333333,196.4007,-0.055800000000005,0.981999999999999,999.999999995225,2,-0.3636,-1,1,20,15,3,3.05498981670061
65,1,NonStim,0,1,203.595133333333,204.573066666667,NaN,0.978000000000009,999.999999995225,4,1,1,1,14,9,2,2.04498977505111
66,1,Stim,1,1,206.853533333333,207.820366666667,-0.061333333333323,0.966999999999985,999.999999995225,2,0.4545,1,0,21,9,2,2.0682523267839
67,1,NonStim,0,1,210.0877,211.062966666667,NaN,0.975000000000023,999.999999995225,4,-0.6363,-1,0,16,3,2,2.051282051282
68,1,NonStim,0,1,213.388666666667,214.356833333333,NaN,0.967999999999989,999.999999995225,1,0.3636,1,1,16,7,4,4.13223140495872
69,1,NonStim,0,1,216.597366666667,217.579066666667,NaN,0.981999999999999,999.999999995225,3,-1,-1,1,11,10,3,3.05498981670061
71,1,Stim,1,1,221.422733333333,222.383233333333,-0.061966666666649,0.961000000000013,999.999999995225,2,-0.4545,-1,0,18,9,2,2.08116545265346
72,1,NonStim,0,1,224.773233333333,225.748566666667,NaN,0.974999999999994,999.999999995225,1,0.4545,1,1,12,10,4,4.10256410256413
