SessionID,SessionIndex,Block,ComparatorCondition,LeftEyeRate,ComparatorRate,Difference
Clay_087,87,nonStim,Bino,0.80188679245283,0.787037037037037,0.0148497554157931
Clay_088,88,nonStim,Bino,0.730769230769231,0.826530612244898,-0.0957613814756673
Clay_089,89,nonStim,Bino,0.813186813186813,0.880434782608696,-0.0672479694218825
Clay_090,90,nonStim,Bino,0.767123287671233,0.808219178082192,-0.041095890410959
Clay_091,91,nonStim,Bino,0.888888888888889,0.864197530864197,0.0246913580246914
Clay_092,92,nonStim,Bino,0.743801652892562,0.7,0.043801652892562
Clay_093,93,nonStim,Bino,0.860215053763441,0.78494623655914,0.0752688172043011
Clay_094,94,nonStim,Bino,0.701492537313433,0.880597014925373,-0.17910447761194
Clay_095,95,nonStim,Bino,0.75,0.818181818181818,-0.0681818181818182
Clay_096,96,nonStim,Bino,0.645161290322581,0.78494623655914,-0.139784946236559
Clay_097,97,nonStim,Bino,0.652892561983471,0.675,-0.0221074380165289
Clay_098,98,nonStim,Bino,0.744525547445255,0.827338129496403,-0.0828125820511474
Clay_099,99,nonStim,Bino,0.735294117647059,0.734375,0.000919117647058876
Clay_100,100,nonStim,Bino,0.575,0.691666666666667,-0.116666666666667
Clay_101,101,nonStim,Bino,0.708860759493671,0.716049382716049,-0.00718862322237845
Clay_102,102,nonStim,Bino,0.785714285714286,0.862745098039216,-0.07703081232493
Clay_103,103,nonStim,Bino,0.821428571428571,0.827272727272727,-0.00584415584415587
