SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,CorrectCount,TotalTrials,CorrectRate,NCoherenceLevels
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_034,34,nonStim,4,Bino,98,119,0.823529411764706,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_035,35,nonStim,1,Combined,108,120,0.9,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_035,35,nonStim,2,MonoL,91,120,0.758333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_035,35,nonStim,3,MonoR,90,121,0.743801652892562,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_035,35,nonStim,4,Bino,92,120,0.766666666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_036,36,nonStim,1,Combined,113,121,0.933884297520661,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_036,36,nonStim,2,MonoL,86,120,0.716666666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_036,36,nonStim,3,MonoR,103,123,0.83739837398374,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_036,36,nonStim,4,Bino,98,121,0.809917355371901,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_037,37,nonStim,1,Combined,70,75,0.933333333333333,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_037,37,nonStim,2,MonoL,65,76,0.855263157894737,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_037,37,nonStim,3,MonoR,66,77,0.857142857142857,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_037,37,nonStim,4,Bino,61,73,0.835616438356164,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Clay.mat,Clay,Clay_038,38,nonStim,1,Combined,114,121,0.942148760330578,12
